,First Name,Last Name,Title,School,School URL,School URL short,New School,New School URL,New School URL short
97,Ryan,Vacca,NA,University of Akron,https://www.uakron.edu/,uakron.edu,University of New Hampshire,http://unh.edu,unh.edu
98,Urska,Velikonja,NA,Emory University,http://emory.edu,emory.edu,Georgetown University,http://georgetown.edu,georgetown.edu
99,Rose Cuison,Villazor,NA,"University of California, Davis",http://ucdavis.edu,ucdavis.edu,Rutgers University,http://rutgers.edu,rutgers.edu
100,Nancy,Welsh,NA,Pennsylvania State University Dickinson School of Law (Carlysle),https://dickinsonlaw.psu.edu/,dickinsonlaw.psu.edu,Texas A&M University,http://tamu.edu,tamu.edu
101,Del,Wright,NA,Valparaiso University,http://valpo.edu,valpo.edu,"University of Missouri, Kansas City",http://umkc.edu,umkc.edu
102,Edward,Afield,NA,Ava Maria School of Law,https://www.avemarialaw.edu/,avemarialaw.edu,Georgia State University,http://gsu.edu,gsu.edu
103,Lisa,Alexander,NA,"University of Wisconsin, Madison",https://www.wisc.edu/,wisc.edu,Texas A&M University,http://tamu.edu,tamu.edu
104,RonNell Anderson,Jones,NA,Brigham Young University,http://byu.edu,byu.edu,University of Utah,http://utah.edu,utah.edu
105,Margo,Bagley,NA,University of Virginia,http://virginia.edu,virginia.edu,Emory University,http://emory.edu,emory.edu
106,Dale,Carpenter,NA,University of Minnesota,http://umn.edu,umn.edu,Southern Methodist University,http://smu.edu,smu.edu
107,David,Fagundes,NA,Southwestern Law School,https://www.swlaw.edu/,swlaw.edu,University of Houston,www.uh.edu/,uh.edu
108,Joshua,Fischman,NA,Northwestern University,http://northwestern.edu,northwestern.edu,University of Virginia,http://virginia.edu,virginia.edu
109,Michael,Frakes,NA,Northwestern University,http://northwestern.edu,northwestern.edu,Duke University,http://duke.edu,duke.edu
110,Susan,Franck,NA,Washington & Lee University,https://www.wlu.edu/,wlu.edu,American University,http://american.edu,american.edu
111,Shubha,Ghosh,NA,"University of Wisconsin, Madison",https://www.wisc.edu/,wisc.edu,Syracuse University,http://syr.edu,syr.edu
112,James,Grimmelman,NA,University of Maryland,http://umaryland.edu,umaryland.edu,Cornell University,http://cornell.edu,cornell.edu
113,Joanna,Grossman,NA,Hofstra University,http://hofstra.edu,hofstra.edu,Southern Methodist University,http://smu.edu,smu.edu
114,Grant,Hayden,NA,Hofstra University,http://hofstra.edu,hofstra.edu,Southern Methodist University,http://smu.edu,smu.edu
115,Andrew,Hessick,NA,University of Utah,http://utah.edu,utah.edu,"University of North Carolina, Chapel Hill",https://www.unc.edu/,unc.edu
116,Carissa Byrne,Hessick,NA,University of Utah,http://utah.edu,utah.edu,"University of North Carolina, Chapel Hill",https://www.unc.edu/,unc.edu
117,David,Hyman,NA,University of Illinois,http://illinois.edu,illinois.edu,Georgetown University,http://georgetown.edu,georgetown.edu
118,Janine,Kim,NA,Marquette University,http://marquette.edu,marquette.edu,Chapman University,http://chapman.edu,chapman.edu
119,Renee,Knake,NA,Michigan State University,http://msu.edu,msu.edu,University of Houston,www.uh.edu/,uh.edu
120,Sarah,Lawsky,NA,"University of California, Irvine",http://uci.edu,uci.edu,Northwestern University,http://northwestern.edu,northwestern.edu
121,Andrew,Lund,NA,Pace University,http://pace.edu,pace.edu,Villanova University,http://villanova.edu,villanova.edu
122,Fatma,Marouf,NA,"University of Nevada, Las Vegas",http://unlv.edu,unlv.edu,Texas A&M University,http://tamu.edu,tamu.edu
123,Thomas,Mitchell,NA,"University of Wisconsin, Madison",https://www.wisc.edu/,wisc.edu,Texas A&M University,http://tamu.edu,tamu.edu
124,Angela,Onwuachi-Willig,NA,University of Iowa,https://uiowa.edu/,uiowa.edu,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu
125,Jordan,Paradise,NA,Seton Hall University,http://shu.edu,shu.edu,"Loyola University, Chicago",http://luc.edu,luc.edu
126,Gregg,Polsky,NA,"University of North Carolina, Chapel Hill",https://www.unc.edu/,unc.edu,University of Georgia,http://uga.edu,uga.edu
127,Edward B.,Rock,NA,University of Pennsylvania,http://upenn.edu,upenn.edu,New York University,http://nyu.edu,nyu.edu
128,Amy,Schmitz,NA,"University of Colorado, Boulder",http://colorado.edu,colorado.edu,"University of Missouri, Columbia",https://missouri.edu/,missouri.edu
