,Unnamed: 0,First Name,Last Name,Title,School,School URL,School URL short,id
220,220,Andrew,Elmore,,Miami,miamioh.edu/,memphis,9808
221,221,Kathleen,Claussen,,Miami,miamioh.edu/,memphis,6153
222,222,Edward,Fox,,Michigan,https://umich.edu/,umich,6337
223,223,Maureen,Carroll,,Michigan,https://umich.edu/,umich,4326
224,224,Gabriel,Rauterberg,,Michigan,https://umich.edu/,umich,9305
225,225,Carla,Reyes,,Michigan State,https://msu.edu/,msu,5592
226,226,David,Blankfein-Tabachnick,,MIchigan State,https://msu.edu/,msu,2745
227,227,Cliff,Johnson,,Mississippi,https://en.wikipedia.org/wiki/University_of_Mississippi,en.wikipedia.org/wiki/University_of_Mississippi,5204
228,228,Randall K.,Johnson,,Mississippi College,https://www.mc.edu/,mc,2800
229,229,Brook,Gotberg,,Missouri,https://missouri.edu/,missouri,4939
230,230,Erika,Lietzan,,Missouri,https://missouri.edu/,missouri,3553
231,231,Brandon,Weiss,,Missouri - Kansas City,https://www.umkc.edu/,umkc,4138
232,232,Meredith,Edelman,,Monash Business School,https://www.monash.edu/business,monash,6277
233,233,Cathay Y.N.,Smith,,Montana,https://www.umt.edu/,umt,3564
234,234,Ryan,Sullivan,,Nebraska,https://www.unl.edu/,unl,8686
235,235,Maggie,Wittlin,,Nebraska,https://www.unl.edu/,unl,9990
236,236,Alexandra,Roberts,,New Hampshire,https://www.snhu.edu/,snhu,6771
237,237,Nicholson,Price,,New Hampshire,https://www.snhu.edu/,snhu,9425
238,238,Roger,Ford,,New Hampshire,https://www.snhu.edu/,snhu,9129
239,239,Mary,Pareja,,New Mexico,https://www.unm.edu/,unm,303
240,240,Ari Ezra,Waldman,,New York Law,https://www.law.nyu.edu/,law.nyu,1916
241,241,Jake,Sherkow,,New York Law,https://www.law.nyu.edu/,law.nyu,8659
242,242,Kevin,Sobel-Read,,Newcastle (Australia),https://www.newcastle.edu.au/,newcastle,8193
243,243,Kate Soblosky,Elengold,,North Carolina,https://www.unc.edu/,unc,1794
244,244,Eisha,Jain,,North Carolina,https://www.unc.edu/,unc,6323
245,245,Bradford,Short,,North South U (Bangladesh),www.northsouth.edu/,northsouth,5831
246,246,Claudia,Haupt,,Northeastern,https://www.northeastern.edu/,northeastern,9208
247,247,Carliss,Chatman,,Northern Illinois,https://www.niu.edu/,niu,6463
248,248,Sarah,Fox,,Northern Illinois,https://www.niu.edu/,niu,3943
249,249,Maybell,Romero,,Northern Illinois,https://www.niu.edu/,niu,1978
250,250,Dan,McConkie,,Northern Illinois,https://www.niu.edu/,niu,3331
251,251,Matthew,Tokson,,Northern Kentucky,https://www.nku.edu/,nku,3840
252,252,Matthew,Kugler,,Northwestern,https://www.northwestern.edu/,northwestern,9715
253,253,Sarath,Sanga,,Northwestern,https://www.northwestern.edu/,northwestern,2671
254,254,Candice,Player,,Northwestern,https://www.northwestern.edu/,northwestern,8036
255,255,Destiny,Peery,,Northwestern,https://www.northwestern.edu/,northwestern,3581
256,256,Christian,Burset,,Notre Dame,https://www.nd.edu/,nd,5898
257,257,Sadie,Blanchard,,Notre Dame,https://www.nd.edu/,nd,7806
258,258,Marah Stith,McLeod,,Notre Dame,https://www.nd.edu/,nd,8068
259,259,Veronica,Root,,Notre Dame,https://www.nd.edu/,nd,9916
260,260,Emiliano Marambio,Catan,,NYU,https://www.nyu.edu/,nyu,4090
261,261,Dallan,Flake,,Ohio Northern,https://www.onu.edu/,onu,5048
262,262,Erica,Goldberg,,Ohio Northern,https://www.onu.edu/,onu,996
263,263,Karen,Hall,,Ohio Northern,https://www.onu.edu/,onu,8886
264,264,Karen,Powell,,Ohio Northern,https://www.onu.edu/,onu,17
265,265,Courtlyn,Roser-Jones,,Ohio State,https://www.osu.edu/,osu,808
266,266,Matthew,Birkhold,,Ohio State,https://www.osu.edu/,osu,8470
267,267,Bryan,Choi,,Ohio State,https://www.osu.edu/,osu,2631
268,268,Ari,Glogower,,Ohio State,https://www.osu.edu/,osu,5088
269,269,Mohamed,Helal,,Ohio State,https://www.osu.edu/,osu,1213
270,270,Amna,Akbar,,Ohio State,https://www.osu.edu/,osu,3265
271,271,Margot E.,Kaminski,,Ohio State,https://www.osu.edu/,osu,4464
272,272,Roger,Michalski,,Oklahoma,www.ou.edu/,ou,4217
273,273,Melissa,Mortazavi,,Oklahoma,www.ou.edu/,ou,3768
274,274,Joshua,Sellers,,Oklahoma,www.ou.edu/,ou,9500
275,275,Kristen,Bell,,Oregon,https://www.uoregon.edu/,uoregon,5304
276,276,Jonathan,Brown,,Pace,https://www.pace.edu/,pace,9609
277,277,Margot,Pollans,,Pace,https://www.pace.edu/,pace,6709
278,278,Maggie,McKinley,,Penn,https://www.upenn.edu/,upenn,9408
279,279,Ryan,Doerfler,,Penn,https://www.upenn.edu/,upenn,7197
280,280,Martin,Skladany,,Penn State,https://www.psu.edu/,psu,2196
281,281,Megan,Wright,,Penn State (University Park),https://www.psu.edu/,psu,8005
282,282,Ben,Johnson,,Penn State (University Park),https://www.psu.edu/,psu,4729
283,283,Matthew,Lawrence,,Penn State Dickinson,https://dickinsonlaw.psu.edu/,dickinsonlaw.psu,4968
284,284,David,Thaw,,Pitt,https://www.pitt.edu/,pitt,4722
285,285,Greer,Donley,,Pittsburgh,https://www.pitt.edu/,pitt,8210
286,286,Jaime,Lluch,,Puerto Rico Poli Sci Dept,https://polsci.umass.edu/people/roberto-alejandro,polsci.umass,8928
