,First Name,Last Name,School,AALS Name,AALS School,Fuzz List
285,Angela P.,Harris,UC Davis,Angela Harris,"University of California, Davis, School of Law",90
286,Jasmine Elwick,Harris,UC Davis,Jasmine Harris,"University of California, Davis, School of Law",80
287,Zelda B.,Harris,Loyola Chicago,Zelda Harris,Loyola University Chicago School of Law,89
288,Keith M.,Harrison,John Marshall Atlanta,Keith Harrison,Atlanta's John Marshall Law School,90
289,Danielle K.,Hart,Southwestern ,Danielle Hart,Southwestern Law School,90
290,Hosea H.,Harvey,Temple ,Hosea Harvey,"Temple University, James E. Beasley School of Law",89
291,Dean M.,Hashimoto,Boston Coll. ,Dean Hashimoto,Boston College Law School,90
292,Renee,Hatcher,John Marshall ,Renee Hatcher,UIC John Marshall Law School,100
293,Cynthia G.,Hawkins,Stetson ,Cynthia Hawkins,Stetson University College of Law,91
294,Andrew,Hayashi,Univ. of Va. ,Andrew Hayashi,University of Virginia School of Law,100
295,Taja-Nia Y.,Henderson,Rutgers ,Taja-Nia Henderson,Rutgers Law School,92
296,Carl,Hernandez,III. Brigham Young ,Carl Hernandez,"Brigham Young University, J. Reuben Clark Law School",100
297,John F.,Hernandez,St. Thomas ,John Hernandez,St. Thomas University School of Law,90
298,Tanya Kateri,Hernandez,Fordham ,Tanya Hernandez,Fordham University School of Law,81
299,Berta E.,Hcmandez-Truyol,Univ. of Florida ,NA,NA,0
300,Luz E.,Herrera,Texas A&M ,Luz Herrera,Texas A&M University School of Law,88
301,Maurice Y. Jr.,Hew,Texas Southern ,Maurice Hew,Texas Southern University Thurgood Marshall School of Law,76
302,F. Michael,Higginbotham,Baltimore ,F. Higginbotham,University of Baltimore School of Law,79
