,First Name,Last Name,Title,School,School URL,School URL short,New School,New School URL,New School URL short,ID
171,Eric,Talley,NA,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu,Columbia University,http://columbia.edu,columbia.edu,1148
173,Peter,Yu,NA,Drake University,http://drake.edu,drake.edu,Texas A&M University,http://tamu.edu,tamu.edu,6567
174,Kathryn,Zeiler,NA,Georgetown University,http://georgetown.edu,georgetown.edu,Boston University,http://bu.edu,bu.edu,8520
175,Oren,Bar-Gill,NA,New York University,http://nyu.edu,nyu.edu,Harvard University,http://harvard.edu,harvard.edu,1470
176,Mitchell N.,Berman,NA,"University of Texas, Austin",https://www.utexas.edu/,utexas.edu,University of Pennsylvania,http://upenn.edu,upenn.edu,248
177,William,Buzbee,NA,Emory University,http://emory.edu,emory.edu,Georgetown University,http://georgetown.edu,georgetown.edu,6840
178,Jenny,Carroll,NA,Seton Hall University,http://shu.edu,shu.edu,University of Alabama,http://ua.edu,ua.edu,6876
179,Stephen,Clowney,NA,University of Kentucky,www.uky.edu/,uky.edu,"University of Arkansas, Fayetteville",https://www.uark.edu/,uark.edu,5526
180,Andrew,Coan,NA,"University of Wisconsin, Madison",https://www.wisc.edu/,wisc.edu,University of Arizona,http://arizona.edu,arizona.edu,5149
181,Jorge,Contreras,NA,American University,http://american.edu,american.edu,University of Utah,http://utah.edu,utah.edu,6269
182,Steven,Davidoff,NA,Ohio State University,http://osu.edu,osu.edu,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu,7669
183,Dhammika,Dharmapala,NA,University of Illinois,http://illinois.edu,illinois.edu,University of Chicago,http://uchicago.edu,uchicago.edu,9081
184,Michael,Doran,NA,Georgetown University,http://georgetown.edu,georgetown.edu,University of Virginia,http://virginia.edu,virginia.edu,6857
185,Justin,Driver,NA,"University of Texas, Austin",https://www.utexas.edu/,utexas.edu,University of Chicago,http://uchicago.edu,uchicago.edu,8653
186,Lee,Epstein,NA,University of Southern California,http://usc.edu,usc.edu,"Washington University, St. Louis",https://wustl.edu/,wustl.edu,5989
187,Kimberly,Ferzan,NA,"Rutgers University, Camden",https://www.camden.rutgers.edu/,camden.rutgers.edu,University of Virginia,http://virginia.edu,virginia.edu,829
188,Michele B.,Goodwin,NA,"University of Minnesota, Twin Cities",https://twin-cities.umn.edu/,twin-cities.umn.edu,"University of California, Irvine",http://uci.edu,uci.edu,4861
189,Kaaryn,Gustafson,NA,University of Connecticut,http://uconn.edu,uconn.edu,"University of California, Irvine",http://uci.edu,uci.edu,3885
190,Emily,Hammond,NA,Wake Forest University,http://wfu.edu,wfu.edu,George Washington University,https://www.gwu.edu/,gwu.edu,3456
191,Bernard,Harcourt,NA,University of Chicago,http://uchicago.edu,uchicago.edu,Columbia University,http://columbia.edu,columbia.edu,9094
192,David,Hasen,NA,Santa Clara University,http://scu.edu,scu.edu,"University of Colorado, Boulder",http://colorado.edu,colorado.edu,805
193,Michael,Hatfield,NA,Texas Tech University,http://ttu.edu,ttu.edu,"University of Washington, Seattle",https://www.washington.edu/,washington.edu,9734
194,Christine,Hurt,NA,University of Illinois,http://illinois.edu,illinois.edu,Brigham Young University,http://byu.edu,byu.edu,8773
195,Darian,Ibrahim,NA,"University of Wisconsin, Madison",https://www.wisc.edu/,wisc.edu,College of William & Mary,https://wm.edu/,wm.edu,9939
196,Charles,Jalloh,NA,University of Pittsburgh,http://pitt.edu,pitt.edu,Florida International University,http://fiu.edu,fiu.edu,681
197,Cathleen,Kaveny,NA,University of Notre Dame,http://nd.edu,nd.edu,Boston College,http://bc.edu,bc.edu,7620
198,Andrew,Kull,NA,Boston University,http://bu.edu,bu.edu,"University of Texas, Austin",https://www.utexas.edu/,utexas.edu,8987
199,Amy,Landers,NA,"University of the Pacific, McGeorge School of Law",https://www.mcgeorge.edu/,mcgeorge.edu,Drexel University,http://drexel.edu,drexel.edu,4875
200,Jacqueline,Lipton,NA,University of Houston,www.uh.edu/,uh.edu,University of Akron,https://www.uakron.edu/,uakron.edu,2118
201,Robert,MacCoun,NA,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu,Stanford University,http://stanford.edu,stanford.edu,8979
202,Patricia,McCoy,NA,University of Connecticut,http://uconn.edu,uconn.edu,Boston College,http://bc.edu,bc.edu,2384
