Unnamed: 0,Person,School,Type,Cited by Cases,Cited by Articles,Accessed (Past 12 Months),Cited by Articles (Past 10 Years),Cited by Articles (Past 1-2 years),ScholarCheck Rank,Average Citations per Article,Average Citations per Document,Self-Citations,ID
,Justin Walker,Louisville,number,0,3,87,3,2,0,0.75,0.5,0,6876
,L. Kate Mitchell,Loyola-Chicago,number,0,0,36,0,0,0,0,0,0,3795
,Nicholas S. Bryner,LSU,number,0,24,131,24,15,0,4.8,4.8,0,1206
,Madalyn K. Wasilczuk,LSU,number,0,0,4,0,0,0,0,0,0,7540
,Raff Donelson,LSU,number,0,0,48,0,0,0,0,0,0,9240
,Lecia Vicente,LSU,number,0,2,20,2,2,0,0.67,0.67,0,1755
,Thea Johnson,Maine,number,0,17,126,17,9,0,4.25,3.4,0,734
,Jill I. Goldenziel,Marine Corps University,number,4,44,226,33,5,0,17,9.13,0,2325
,Jodie A. Kirshner,Marron Institute (NYU),number,0,32,162,32,7,0,3.56,3.2,0,4994
,Dustin Marlan,Massachusetts,number,0,4,103,4,0,0,4,2,0,757
,John Newman,Memphis,number,0,89,299,82,30,0,8.9,4.45,11,9612
,Andrew Elmore,Miami,number,2,16,91,13,6,0,4,3.2,0,9808
,Kathleen Claussen,Miami,number,0,14,273,14,5,0,1.75,1.08,0,6153
,Edward G. Fox,Michigan,number,0,6,93,6,6,0,4,3.75,0,6337
,Maureen Carroll,Michigan,number,1,67,186,66,19,0,16.75,11.17,0,4326
,Gabriel V. Rauterberg,Michigan,number,1,105,556,105,49,0,13.12,10.5,0,9305
,Carla L. Reyes,Michigan State,number,1,55,428,55,30,0,6.88,5,0,5592
,David H. Blankfein-Tabachnick,MIchigan State,number,0,8,303,8,2,0,8,7,0,2745
,Randall K. Johnson,Mississippi College,number,0,12,104,12,7,0,1.5,1.5,0,2800
,Brook E. Gotberg,Missouri,number,2,18,81,18,6,0,6,6,0,4939
,Erika Fisher Lietzan,Missouri,number,7,194,339,138,28,0,10.78,10.21,14,3553
